Kode Matakuliah,Matakuliah,Kelas,SKS
22000011B06,BAHASA INGGRIS II,A,3
22000011B06,BAHASA INGGRIS II,B,3
22000011B06,BAHASA INGGRIS II,C,3
22000011B06,BAHASA INGGRIS II,D,3
22000011B06,BAHASA INGGRIS II,E,3
22000011B06,BAHASA INGGRIS II,F,3
22000011B06,BAHASA INGGRIS II,G,3
22000011B06,BAHASA INGGRIS II,H,3
22000011B06,BAHASA INGGRIS II,I,3
22040111D02,FILSAFAT MANUSIA,A,2
22040111D02,FILSAFAT MANUSIA,B,2
22040111D02,FILSAFAT MANUSIA,C,2
22040111D02,FILSAFAT MANUSIA,D,2
22040111D02,FILSAFAT MANUSIA,E,2
22040111D02,FILSAFAT MANUSIA,F,2
22040111D02,FILSAFAT MANUSIA,G,2
22040111D02,FILSAFAT MANUSIA,H,2
22040111D02,FILSAFAT MANUSIA,I,2
22040111D03,PSIKOLOGI FAAL,A,3
22040111D03,PSIKOLOGI FAAL,B,3
22040111D03,PSIKOLOGI FAAL,C,3
22040111D03,PSIKOLOGI FAAL,D,3
22040111D03,PSIKOLOGI FAAL,E,3
22040111D03,PSIKOLOGI FAAL,F,3
22040111D03,PSIKOLOGI FAAL,G,3
22040111D03,PSIKOLOGI FAAL,H,3
22040111D03,PSIKOLOGI FAAL,I,3
22040111D05,TEORI PSIKOLOGI PERKEMBANGAN,A,6
22040111D05,TEORI PSIKOLOGI PERKEMBANGAN,B,6
22040111D05,TEORI PSIKOLOGI PERKEMBANGAN,C,6
22040111D05,TEORI PSIKOLOGI PERKEMBANGAN,D,6
22040111D05,TEORI PSIKOLOGI PERKEMBANGAN,E,6
22040111D05,TEORI PSIKOLOGI PERKEMBANGAN,F,6
22040111D05,TEORI PSIKOLOGI PERKEMBANGAN,G,6
22040111D05,TEORI PSIKOLOGI PERKEMBANGAN,H,6
22040111D05,TEORI PSIKOLOGI PERKEMBANGAN,I,6
22040111D06,PSIKOLOGI SOSIAL,A,6
22040111D06,PSIKOLOGI SOSIAL,B,6
22040111D06,PSIKOLOGI SOSIAL,C,6
22040111D06,PSIKOLOGI SOSIAL,D,6
22040111D06,PSIKOLOGI SOSIAL,E,6
22040111D06,PSIKOLOGI SOSIAL,F,6
22040111D06,PSIKOLOGI SOSIAL,G,6
22040111D06,PSIKOLOGI SOSIAL,H,6
22040111D06,PSIKOLOGI SOSIAL,I,6
22040111D07,PSIKOLOGI AGAMA,A,2
22040111D07,PSIKOLOGI AGAMA,B,2
22040111D07,PSIKOLOGI AGAMA,C,2
22040111D07,PSIKOLOGI AGAMA,D,2
22040111D07,PSIKOLOGI AGAMA,E,2
22040111D07,PSIKOLOGI AGAMA,F,2
22040111D07,PSIKOLOGI AGAMA,G,2
22040111D07,PSIKOLOGI AGAMA,H,2
22040111D07,PSIKOLOGI AGAMA,I,2
22040111D08,PSIKOLOGI ABNORMAL,A,3
22040111D08,PSIKOLOGI ABNORMAL,B,3
22040111D08,PSIKOLOGI ABNORMAL,C,3
22040111D08,PSIKOLOGI ABNORMAL,D,3
22040111D08,PSIKOLOGI ABNORMAL,E,3
22040111D08,PSIKOLOGI ABNORMAL,F,3
22040111D08,PSIKOLOGI ABNORMAL,G,3
22040111D08,PSIKOLOGI ABNORMAL,H,3
22040111D08,PSIKOLOGI ABNORMAL,I,3
22040111D09,PSIKOLOGI EKSPERIMEN,A,2
22040111D09,PSIKOLOGI EKSPERIMEN,B,2
22040111D09,PSIKOLOGI EKSPERIMEN,C,2
22040111D09,PSIKOLOGI EKSPERIMEN,D,2
22040111D09,PSIKOLOGI EKSPERIMEN,E,2
22040111D09,PSIKOLOGI EKSPERIMEN,F,2
22040111D09,PSIKOLOGI EKSPERIMEN,G,2
22040111D09,PSIKOLOGI EKSPERIMEN,H,2
22040111D09,PSIKOLOGI EKSPERIMEN,I,2
22040111D10,STATISTIKA,A,3
22040111D10,STATISTIKA,B,3
22040111D10,STATISTIKA,C,3
22040111D10,STATISTIKA,D,3
22040111D10,STATISTIKA,E,3
22040111D10,STATISTIKA,F,3
22040111D10,STATISTIKA,G,3
22040111D10,STATISTIKA,H,3
22040111D10,STATISTIKA,I,3
22040111D11,METODOLOGI PENELITIAN KUANTITATIF,A,3
22040111D11,METODOLOGI PENELITIAN KUANTITATIF,B,3
22040111D11,METODOLOGI PENELITIAN KUANTITATIF,C,3
22040111D11,METODOLOGI PENELITIAN KUANTITATIF,D,3
22040111D11,METODOLOGI PENELITIAN KUANTITATIF,E,3
22040111D11,METODOLOGI PENELITIAN KUANTITATIF,F,3
22040111D11,METODOLOGI PENELITIAN KUANTITATIF,G,3
22040111D11,METODOLOGI PENELITIAN KUANTITATIF,H,3
22040111D11,METODOLOGI PENELITIAN KUANTITATIF,I,3
22040111D13,PSIKOLOGI BELAJAR,A,2
22040111D13,PSIKOLOGI BELAJAR,B,2
22040111D13,PSIKOLOGI BELAJAR,C,2
22040111D13,PSIKOLOGI BELAJAR,D,2
22040111D13,PSIKOLOGI BELAJAR,E,2
22040111D13,PSIKOLOGI BELAJAR,F,2
22040111D13,PSIKOLOGI BELAJAR,G,2
22040111D13,PSIKOLOGI BELAJAR,H,2
22040111D13,PSIKOLOGI BELAJAR,I,2
22040111D17,PSIKODIAGNOSTIK II OBSERVASI,A,3
22040111D17,PSIKODIAGNOSTIK II OBSERVASI,B,3
22040111D17,PSIKODIAGNOSTIK II OBSERVASI,C,3
22040111D17,PSIKODIAGNOSTIK II OBSERVASI,D,3
22040111D17,PSIKODIAGNOSTIK II OBSERVASI,E,3
22040111D17,PSIKODIAGNOSTIK II OBSERVASI,F,3
22040111D17,PSIKODIAGNOSTIK II OBSERVASI,G,3
22040111D17,PSIKODIAGNOSTIK II OBSERVASI,H,3
22040111D17,PSIKODIAGNOSTIK II OBSERVASI,I,3
22040111D21,DESAIN PELATIHAN,A,2
22040111D21,DESAIN PELATIHAN,B,2
22040111D21,DESAIN PELATIHAN,C,2
22040111D21,DESAIN PELATIHAN,D,2
22040111D21,DESAIN PELATIHAN,E,2
22040111D21,DESAIN PELATIHAN,F,2
22040111D21,DESAIN PELATIHAN,G,2
22040111D21,DESAIN PELATIHAN,H,2
22040111D21,DESAIN PELATIHAN,I,2
22040111D22,TES INVENTORI,A,1
22040111D22,TES INVENTORI,B,1
22040111D22,TES INVENTORI,C,1
22040111D22,TES INVENTORI,D,1
22040111D22,TES INVENTORI,E,1
22040111D22,TES INVENTORI,F,1
22040111D22,TES INVENTORI,G,1
22040111D22,TES INVENTORI,H,1
22040111D22,TES INVENTORI,I,1
22040111D25,PSIKOLOGI ISLAM,A,2
22040111D25,PSIKOLOGI ISLAM,B,2
22040111D25,PSIKOLOGI ISLAM,C,2
22040111D25,PSIKOLOGI ISLAM,D,2
22040111D25,PSIKOLOGI ISLAM,E,2
22040111D25,PSIKOLOGI ISLAM,F,2
22040111D25,PSIKOLOGI ISLAM,G,2
22040111D25,PSIKOLOGI ISLAM,H,2
22040111D25,PSIKOLOGI ISLAM,I,2
22040111D27,KODE ETIK PSIKOLOGI,A,2
22040111D27,KODE ETIK PSIKOLOGI,B,2
22040111D27,KODE ETIK PSIKOLOGI,C,2
22040111D27,KODE ETIK PSIKOLOGI,D,2
22040111D27,KODE ETIK PSIKOLOGI,E,2
22040111D27,KODE ETIK PSIKOLOGI,F,2
22040111D27,KODE ETIK PSIKOLOGI,G,2
22040111D27,KODE ETIK PSIKOLOGI,H,2
22040111D27,KODE ETIK PSIKOLOGI,I,2
22040111D28,ANTROPOLOGI,A,2
22040111D28,ANTROPOLOGI,B,2
22040111D28,ANTROPOLOGI,C,2
22040111D28,ANTROPOLOGI,D,2
22040111D28,ANTROPOLOGI,E,2
22040111D28,ANTROPOLOGI,F,2
22040111D28,ANTROPOLOGI,G,2
22040111D28,ANTROPOLOGI,H,2
22040111D28,ANTROPOLOGI,I,2
22040111D31,PSIKOLOGI KONSELING,A,3
22040111D31,PSIKOLOGI KONSELING,B,3
22040111D31,PSIKOLOGI KONSELING,C,3
22040111D31,PSIKOLOGI KONSELING,D,3
22040111D31,PSIKOLOGI KONSELING,E,3
22040111D31,PSIKOLOGI KONSELING,F,3
22040111D31,PSIKOLOGI KONSELING,G,3
22040111D31,PSIKOLOGI KONSELING,H,3
22040111D31,PSIKOLOGI KONSELING,I,3
22040111D34,MODIFIKASI PERILAKU,A,2
22040111D34,MODIFIKASI PERILAKU,B,2
22040111D34,MODIFIKASI PERILAKU,C,2
22040111D34,MODIFIKASI PERILAKU,D,2
22040111D34,MODIFIKASI PERILAKU,E,2
22040111D34,MODIFIKASI PERILAKU,F,2
22040111D34,MODIFIKASI PERILAKU,G,2
22040111D34,MODIFIKASI PERILAKU,H,2
22040111D34,MODIFIKASI PERILAKU,I,2
22040111D35,PKL,,2
22040111D36,PSIKOLOGI KOMUNITAS,A,1
22040111D36,PSIKOLOGI KOMUNITAS,B,1
22040111D36,PSIKOLOGI KOMUNITAS,C,1
22040111D36,PSIKOLOGI KOMUNITAS,D,1
22040111D36,PSIKOLOGI KOMUNITAS,E,1
22040111D36,PSIKOLOGI KOMUNITAS,F,1
22040111D36,PSIKOLOGI KOMUNITAS,G,1
22040111D36,PSIKOLOGI KOMUNITAS,H,1
22040111D36,PSIKOLOGI KOMUNITAS,I,1
22040111D39,PSIKOLOGI LITERASI,A,1
22040111D39,PSIKOLOGI LITERASI,B,1
22040111D39,PSIKOLOGI LITERASI,C,1
22040111D39,PSIKOLOGI LITERASI,D,1
22040111D39,PSIKOLOGI LITERASI,E,1
22040111D39,PSIKOLOGI LITERASI,F,1
22040111D39,PSIKOLOGI LITERASI,G,1
22040111D39,PSIKOLOGI LITERASI,H,1
22040111D39,PSIKOLOGI LITERASI,I,1
22040112F01,PSIKOLOGI KESULITAN BELAJAR,X,2
22040112F01,PSIKOLOGI KESULITAN BELAJAR,Y,2
22040112F02,PSIKOLOGI SEKOLAH,X,2
22040112F02,PSIKOLOGI SEKOLAH,Y,2
22040112F03,PENDIDIKAN ANAK BERBAKAT,X,2
22040112F03,PENDIDIKAN ANAK BERBAKAT,Y,2
22040112F04,PENDIDIKAN PRASEKOLAH,X,2
22040112F04,PENDIDIKAN PRASEKOLAH,Y,2
22040112F05,PENANGANAN ANAK BERMASALAH,X,2
22040112F06,ASSESMEN DALAM PSIKOLOGI KLINIS,R,2
22040112F06,ASSESMEN DALAM PSIKOLOGI KLINIS,T,2
22040112F07,KESEHATAN MENTAL,Q,2
22040112F07,KESEHATAN MENTAL,R,2
22040112F09,PENANGANAN KASUS KLINIS,W,2
22040112F09,PENANGANAN KASUS KLINIS,Z,2
22040112F10,ERGONOMI,X,2
22040112F10,ERGONOMI,Y,2
22040112F11,ANALISIS JABATAN,P,2
22040112F11,ANALISIS JABATAN,R,2
22040112F11,ANALISIS JABATAN,T,2
22040112F12,PSIKOLOGI KONSUMEN,V,2
22040112F12,PSIKOLOGI KONSUMEN,X,2
22040112F13,MANAJEMEN SUMBER DAYA MANUSIA,P,2
22040112F13,MANAJEMEN SUMBER DAYA MANUSIA,X,2
22040112F13,MANAJEMEN SUMBER DAYA MANUSIA,Y,2
22040112F14,PERILAKU ORGANISASI,O,2
22040112F14,PERILAKU ORGANISASI,S,2
22040112F15,DINAMIKA KELOMPOK,V,2
22040112F15,DINAMIKA KELOMPOK,Z,2
22040112F16,PSIKOLOGI KOMUNIKASI,N,2
22040112F16,PSIKOLOGI KOMUNIKASI,S,2
24000011A02,KEWARGANEGARAAN,A,2
24000011A02,KEWARGANEGARAAN,B,2
24000011A02,KEWARGANEGARAAN,C,2
24000011A02,KEWARGANEGARAAN,D,2
24000011A02,KEWARGANEGARAAN,E,2
24000011A02,KEWARGANEGARAAN,F,2
24000011A02,KEWARGANEGARAAN,G,2
24000011A02,KEWARGANEGARAAN,H,2
24000011A02,KEWARGANEGARAAN,I,2
24000011B03,BAHASA ARAB KOMUNIKATIF,A,2
24000011B03,BAHASA ARAB KOMUNIKATIF,B,2
24000011B03,BAHASA ARAB KOMUNIKATIF,C,2
24000011B03,BAHASA ARAB KOMUNIKATIF,D,2
24000011B03,BAHASA ARAB KOMUNIKATIF,E,2
24000011B03,BAHASA ARAB KOMUNIKATIF,F,2
24000011B03,BAHASA ARAB KOMUNIKATIF,G,2
24000011B03,BAHASA ARAB KOMUNIKATIF,H,2
24000011B03,BAHASA ARAB KOMUNIKATIF,I,2
24000011B03,BAHASA ARAB KOMUNIKATIF,J,2
24000011B03,BAHASA ARAB KOMUNIKATIF,K,2
24000011B03,BAHASA ARAB KOMUNIKATIF,L,2
24000011B04,BAHASA ARAB PRAKTIS,A,2
24000011B04,BAHASA ARAB PRAKTIS,B,2
24000011B04,BAHASA ARAB PRAKTIS,C,2
24000011B04,BAHASA ARAB PRAKTIS,D,2
24000011B04,BAHASA ARAB PRAKTIS,E,2
24000011B04,BAHASA ARAB PRAKTIS,F,2
24000011B04,BAHASA ARAB PRAKTIS,G,2
24000011B04,BAHASA ARAB PRAKTIS,H,2
24000011B04,BAHASA ARAB PRAKTIS,I,2
24000011B04,BAHASA ARAB PRAKTIS,J,2
24000011B04,BAHASA ARAB PRAKTIS,K,2
24000011B04,BAHASA ARAB PRAKTIS,L,2
24000011B09,TEOSOFI,A,2
24000011B09,TEOSOFI,B,2
24000011B09,TEOSOFI,C,2
24000011B09,TEOSOFI,D,2
24000011B09,TEOSOFI,E,2
24000011B09,TEOSOFI,F,2
24000011B09,TEOSOFI,G,2
24000011B09,TEOSOFI,H,2
24000011B09,TEOSOFI,I,2
